open,high,low,close,volume,date
2918.3000,2983.5500,2912.0000,2973.2000,197060,2024-05-23
2966.0000,2977.0000,2951.2000,2959.8000,456600,2024-05-24
2960.8000,2967.4500,2924.0000,2932.4500,134570,2024-05-27
2941.9500,2957.0000,2905.4000,2911.2500,116320,2024-05-28
2897.0000,2916.1000,2877.0000,2881.4500,65080,2024-05-29
2884.0000,2884.0000,2841.5000,2850.0000,54130,2024-05-30
2864.6500,2884.2000,2843.2500,2859.6000,797290,2024-05-31
2974.9000,3029.9000,2918.0000,3021.2500,315230,2024-06-03
3007.9500,3007.9500,2719.1500,2793.6000,1040000,2024-06-04
2848.9500,2861.3500,2768.0500,2842.1500,180090,2024-06-05
2869.0000,2886.0000,2843.0000,2863.7500,255380,2024-06-06
2858.0000,2944.5000,2852.9500,2939.4500,952210,2024-06-07
2943.7500,2986.5500,2935.5500,2940.6000,87070,2024-06-10
2949.9500,2949.9500,2910.0000,2913.5000,125970,2024-06-11
2913.5000,2952.0000,2911.0000,2926.0500,172570,2024-06-12
2946.0000,2946.0000,2920.5500,2928.6500,57560,2024-06-13
2936.1000,2958.7000,2913.4000,2954.5500,186350,2024-06-14
2970.2000,2974.0000,2941.2000,2961.4000,108020,2024-06-18
2971.4000,2975.2000,2911.2500,2917.2000,97510,2024-06-19
2925.1000,2964.9000,2900.8000,2947.2500,99020,2024-06-20
2947.2000,2947.2000,2880.5000,2912.2000,897460,2024-06-21
